Speed,Torque
-6310.60606060606,-416.926770708283
-6351.0101010101,-414.910536779324
-6391.41414141414,-412.91979454761
-6431.81818181818,-410.95406360424
-6472.22222222222,-409.012875536481
-6512.62626262626,-407.095773555642
-6553.0303030303,-405.202312138728
-6593.43434343434,-403.332056683263
-6633.83838383838,-401.484583174724
-6674.24242424242,-399.659477866061
-6714.64646464646,-397.856336968785
-6755.05050505051,-396.07476635514
-6795.45454545455,-394.314381270903
-6835.85858585859,-392.574806058367
-6876.26262626263,-390.855673889093
-6916.66666666667,-389.156626506024
-6957.07070707071,-387.477313974592
-6997.47474747475,-385.81739444244
-7037.87878787879,-384.176533907427
-7078.28282828283,-382.554405993578
-7118.68686868687,-380.950691734658
-7159.09090909091,-379.365079365079
-7199.49494949495,-377.797264117853
-7239.89898989899,-376.246948029299
-7280.30303030303,-374.71383975026
-7320.70707070707,-373.197654363574
-7361.11111111111,-371.698113207547
-7401.51515151515,-370.21494370522
-7441.91919191919,-368.747879199186
-7482.32323232323,-367.296658791765
-7522.72727272727,-365.861027190332
-7563.13131313131,-364.440734557596
-7603.53535353535,-363.035536366656
-7643.93939393939,-361.645193260654
-7684.34343434343,-360.269470916858
-7724.74747474748,-358.908139915005
-7765.15151515152,-357.560975609756
-7805.55555555556,-356.227758007117
-7845.9595959596,-354.908271644673
-7886.36363636364,-353.602305475504
-7926.76767676768,-352.309652755655
-7967.17171717172,-351.030110935024
NaN,NaN
4734.84848484848,-522.4
4775.25252525252,-518.826017979905
4815.65656565657,-515.312008390142
4856.06060606061,-511.85647425897
4896.46464646465,-508.457968024755
4936.86868686869,-505.115089514067
4977.27272727273,-501.826484018265
5017.67676767677,-498.59084046301
5058.08080808081,-495.406889665502
5098.48484848485,-492.273402674591
5138.88888888889,-489.189189189189
5179.29292929293,-486.153096050707
5219.69696969697,-483.164005805515
5260.10101010101,-480.220835333653
5300.50505050505,-477.322534540257
5340.90909090909,-474.468085106383
5381.31313131313,-471.656499296105
5421.71717171717,-468.886818816954
5462.12121212121,-466.158113730929
5502.52525252525,-463.469481413492
5542.92929292929,-460.820045558087
5583.33333333333,-458.208955223881
5623.73737373737,-455.635383924562
5664.14141414141,-453.09852875613
5704.54545454545,-450.597609561753
5744.94949494949,-448.131868131868
5785.35353535354,-445.7005674378
5825.75757575758,-443.302990897269
5866.16161616162,-440.938441670254
5906.56565656566,-438.606241983754
5946.9696969697,-436.305732484076
5987.37373737374,-434.036271615352
6027.77777777778,-431.797235023041
6068.18181818182,-429.588014981273
6108.58585858586,-427.40801984291
6148.9898989899,-425.256673511294
6189.39393939394,-423.133414932681
6229.79797979798,-421.037697608431
6270.20202020202,-418.968989126057
6310.60606060606,-416.926770708283
6351.0101010101,-414.910536779324
6391.41414141414,-412.91979454761
6431.81818181818,-410.95406360424
6472.22222222222,-409.012875536481
6512.62626262626,-407.095773555642
6553.0303030303,-405.202312138728
6593.43434343434,-403.332056683263
6633.83838383838,-401.484583174724
6674.24242424242,-399.659477866061
6714.64646464646,-397.856336968785
6755.05050505051,-396.07476635514
6795.45454545455,-394.314381270903
6835.85858585859,-392.574806058367
6876.26262626263,-390.855673889093
6916.66666666667,-389.156626506024
6957.07070707071,-387.477313974592
6997.47474747475,-385.81739444244
7037.87878787879,-384.176533907427
7078.28282828283,-382.554405993578
7118.68686868687,-380.950691734658
7159.09090909091,-379.365079365079
7199.49494949495,-377.797264117853
7239.89898989899,-376.246948029299
7280.30303030303,-374.71383975026
7320.70707070707,-373.197654363574
7361.11111111111,-371.698113207547
7401.51515151515,-370.21494370522
7441.91919191919,-368.747879199186
7482.32323232323,-367.296658791765
7522.72727272727,-365.861027190332
7563.13131313131,-364.440734557596
7603.53535353535,-363.035536366656
7643.93939393939,-361.645193260654
7684.34343434343,-360.269470916858
7724.74747474748,-358.908139915005
7765.15151515152,-357.560975609756
7805.55555555556,-356.227758007117
7845.9595959596,-354.908271644673
7886.36363636364,-353.602305475504
7926.76767676768,-352.309652755655
7967.17171717172,-351.030110935024
